Source_AirportID,Source_Latitude,Source_Longitude,Destination_AirportID,Destination_Latitude,Destination_Longitude
2965.0,43.449928,39.956589,2990.0,55.606186,49.278728
2966.0,46.283333,48.006278,2990.0,55.606186,49.278728
2966.0,46.283333,48.006278,2962.0,44.225072,43.081889
2968.0,55.305836,61.503333,2990.0,55.606186,49.278728
2968.0,55.305836,61.503333,4078.0,55.012622,82.650656
4029.0,55.408611,37.906111,2990.0,55.606186,49.278728
4029.0,55.408611,37.906111,6969.0,55.34,52.06
4029.0,55.408611,37.906111,6160.0,54.64,52.8017
6156.0,50.6438,36.5901,2952.0,54.89005,20.592633
6156.0,50.6438,36.5901,2990.0,55.606186,49.278728
2922.0,40.4675,50.046667,6969.0,55.34,52.06
2952.0,54.89005,20.592633,6156.0,50.6438,36.5901
2990.0,55.606186,49.278728,2965.0,43.449928,39.956589
2990.0,55.606186,49.278728,2966.0,46.283333,48.006278
2990.0,55.606186,49.278728,2968.0,55.305836,61.503333
2990.0,55.606186,49.278728,4029.0,55.408611,37.906111
2990.0,55.606186,49.278728,6156.0,50.6438,36.5901
2990.0,55.606186,49.278728,2948.0,59.800292,30.262503
2990.0,55.606186,49.278728,2975.0,56.743108,60.802728
2948.0,59.800292,30.262503,2990.0,55.606186,49.278728
2948.0,59.800292,30.262503,6969.0,55.34,52.06
2948.0,59.800292,30.262503,6160.0,54.64,52.8017
2962.0,44.225072,43.081889,2966.0,46.283333,48.006278
6969.0,55.34,52.06,4029.0,55.408611,37.906111
6969.0,55.34,52.06,2922.0,40.4675,50.046667
6969.0,55.34,52.06,2948.0,59.800292,30.262503
6969.0,55.34,52.06,2975.0,56.743108,60.802728
2972.0,60.949272,76.483617,2975.0,56.743108,60.802728
2972.0,60.949272,76.483617,6160.0,54.64,52.8017
4364.0,66.041811,76.313938,2975.0,56.743108,60.802728
4078.0,55.012622,82.650656,2968.0,55.305836,61.503333
4078.0,55.012622,82.650656,2975.0,56.743108,60.802728
2975.0,56.743108,60.802728,2990.0,55.606186,49.278728
2975.0,56.743108,60.802728,6969.0,55.34,52.06
2975.0,56.743108,60.802728,2972.0,60.949272,76.483617
2975.0,56.743108,60.802728,4364.0,66.041811,76.313938
2975.0,56.743108,60.802728,4078.0,55.012622,82.650656
6160.0,54.64,52.8017,4029.0,55.408611,37.906111
6160.0,54.64,52.8017,2948.0,59.800292,30.262503
6160.0,54.64,52.8017,2972.0,60.949272,76.483617
2936.0,56.370556,101.698331,2937.0,52.268028,104.388975
2936.0,56.370556,101.698331,4078.0,55.012622,82.650656
2968.0,55.305836,61.503333,4078.0,55.012622,82.650656
2935.0,52.026317,113.305556,2937.0,52.268028,104.388975
2937.0,52.268028,104.388975,2936.0,56.370556,101.698331
2937.0,52.268028,104.388975,2935.0,52.026317,113.305556
2937.0,52.268028,104.388975,8944.0,57.5137,114.1348
2937.0,52.268028,104.388975,4078.0,55.012622,82.650656
2937.0,52.268028,104.388975,6924.0,56.85,105.7167
2937.0,52.268028,104.388975,9026.0,60.723,114.825
2937.0,52.268028,104.388975,2923.0,62.09325,129.770672
2925.0,62.534689,114.038928,4078.0,55.012622,82.650656
8944.0,57.5137,114.1348,2937.0,52.268028,104.388975
4078.0,55.012622,82.650656,2936.0,56.370556,101.698331
4078.0,55.012622,82.650656,2968.0,55.305836,61.503333
4078.0,55.012622,82.650656,2937.0,52.268028,104.388975
6924.0,56.85,105.7167,2937.0,52.268028,104.388975
9026.0,60.723,114.825,2937.0,52.268028,104.388975
2923.0,62.09325,129.770672,2937.0,52.268028,104.388975
2786.0,-13.154819,-74.204417,2789.0,-12.021889,-77.114319
2812.0,-13.535722,-71.938781,2789.0,-12.021889,-77.114319
